relative_path,sha256,size_bytes
.agents/skills/ml-cra-stage-gate/SKILL.md,b1e016fae3c3295d2cddab176061aab69feb67fc9e668c7f69fa2a50af5e00fa,7348
.agents/skills/ml-cra-stage-gate/agents/openai.yaml,b8465737e39818ad4f022bf381f9536371fefa91ec39f88f2d14ae9e0513f73d,372
.github/CODEOWNERS,d794295a7bd7a0881e0fa37cf1e286f757731895f904cf24f61bdcf8eac58088,211
.github/dependabot.yml,728c7b761a35bb8d4ccf052a7505a4e9c9fd9810c98b7d104834fa9f3de09efb,410
.github/workflows/ci.yml,0ae98b089655489e774c7011340f34474e974ca986e7d688ccadee8a389f78f9,5655
.gitignore,92600abee01f694a0b075c66e7dc369a79e6d9ae4ca28f944f9ccf896522e3f8,860
AGENTS.md,996081f6335ad6d047e7a5130d0a642a92429a6a9229bb9ebbadce82824a2eb8,10212
CITATION.cff,fabe7833bcb6b6085997bbd8f6f87ce103e3c254aed148a0d571c6579659212c,521
DATASET_ATTRIBUTION.md,a10afdd641538850999194f147c75213688ea557f4daaa0456ecc93cd484f865,6543
LICENSE,2b24974446a4c0213e8e2f6400ac98dc6b9c94321b5315f8c2cd58f103e84153,1080
README.md,624c7a538a9971a057257a8bf25cfb61d903e4ea328257392a651ea80eabb25a,12362
README_RU.md,12a6e9faa9b21993ebbb27b7f8718e84fb857564ccdd88923ff251eaaffbbc3b,19963
SECURITY.md,4942fb85afd3a6ab467c8914c97ed3ed91f50c57e947c142d20b703bbf9bc35b,3997
bio_inspired_project_engineering_standard_v02.md,ac5222515b49a0cad2a76996d564d412462fc653b71de18a665b31222c40614a,87932
configs/claims/miniboone_hgb_vs_logreg_claim_v01.csv,da523e2a2cb19c7bc47f58b4b0ce6d4f5e25ad4d099e785eb7c245bcae672a13,2579
configs/claims/uci_wine_quality_red_hgbr_vs_ridge_rmse_claim_v01.json,124264cea40a58b23321106e8a83f1663b90d84cf69bab1cd59288893108417d,699
configs/cli/st08_08_registered_miniboone_software_characterization_claim_v01.json,359e1c854d3034cc01d4047316628bce2655f00860c1c461ecfce00a4bd267e5,638
configs/model_spaces/miniboone_hist_gradient_boosting_nested_space.csv,c0a79beba8b3580a8ecc26df371efc8c757877a0be7f121d718aefbe5f3a5c19,2733
configs/project_readiness/st08_05_miniboone_lineage_license_attribution_and_release_asset_disposition_v01.json,6fbf4719469b94a3ba04d91fa7124930df25c5d6731930adeb18e8396071484e,12583
configs/project_readiness/st08_06_public_repository_asset_manifest_v01.json,f4c2e2d235bba35bbdd46dede9824dc92865cf3e56e34d2bfcef6f8e95e749c7,12612
configs/project_readiness/st08_07_python_packaging_dependency_and_clean_environment_contract_v01.json,638c996432b723af5cd4dc60be9de1f8c55ca14d2186d0fac73e64925df15a99,11557
configs/project_readiness/st08_08_universal_cli_classification_vertical_slice_contract_v01.json,2651838806a6c22dc6c102a295d70159c81ea684f66e411934dd57392c0f484b,7141
configs/project_readiness/st08_09_CI_security_and_release_candidate_assurance_contract_v01.json,81e201550bf643a262a4ecb8ef9094787484eec4ac0600773d987c6c1f4b1f31,12689
configs/project_readiness/st08_10_root_and_bilingual_user_documentation_contract_v01.json,41781b61974fb40089ded6a4aff6d9235504d979caa086cac34f2d1b5538ff9e,8883
configs/project_readiness/st08_11A_registered_regression_dataset_claim_and_scientific_validation_contract_v01.json,58158eeb1ef1576b42c0be1f7c90316ae5b033b791dd0919d6d9aacb270318b6,6195
configs/project_readiness/st08_11_tabular_regression_protocol_core_and_CLI_support_contract_v01.json,7c179e6f310b5ff5a8a42d38e3c4a9326e66c46e60ba464c3dad61367a958b28,11482
configs/project_readiness/st08_12_dashboard_shared_core_and_CLI_golden_equivalence_contract_v01.json,51274dda70d59e1e8bfb7201fba4738320d95fcc35f63d6988be3401ec39327d,3924
configs/project_readiness/st08_13A_REQ08_REQ12_current_canonical_hash_evidence_migration_contract_v01.json,0d1870289b078c944f000afd7d8052553368099ca6438123e0541af3eef27b75,7450
configs/project_readiness/st08_13B_public_repository_bootstrap_hosted_CI_and_repository_security_contract_v01.json,3beedf48bcb53acc2a8f9a87f720cfc38506983857d0123be1e597a14a517762,17447
configs/project_readiness/st08_13C_prospective_release_candidate_v02_reaudit_contract_v01.json,46358add6b0ee065d075406a89260f33fb30c3b2c2ffaa8036fa0b4908986ac3,10914
configs/project_readiness/st08_13_release_candidate_completion_security_and_readiness_reaudit_contract_v01.json,46e87427425534b2f07da3270ceaf85ad10abd52318421850856160380940287,6183
