relative_path,sha256,size_bytes
.agents/skills/ml-cra-stage-gate/SKILL.md,b1e016fae3c3295d2cddab176061aab69feb67fc9e668c7f69fa2a50af5e00fa,7348
.agents/skills/ml-cra-stage-gate/agents/openai.yaml,b8465737e39818ad4f022bf381f9536371fefa91ec39f88f2d14ae9e0513f73d,372
.github/CODEOWNERS,d794295a7bd7a0881e0fa37cf1e286f757731895f904cf24f61bdcf8eac58088,211
.github/dependabot.yml,728c7b761a35bb8d4ccf052a7505a4e9c9fd9810c98b7d104834fa9f3de09efb,410
.github/workflows/ci.yml,15f0efc0734eca1804f3c50fd716ce69dac701580d9e858e2bac75a67af8c10f,5042
.gitignore,92600abee01f694a0b075c66e7dc369a79e6d9ae4ca28f944f9ccf896522e3f8,860
AGENTS.md,996081f6335ad6d047e7a5130d0a642a92429a6a9229bb9ebbadce82824a2eb8,10212
CITATION.cff,fabe7833bcb6b6085997bbd8f6f87ce103e3c254aed148a0d571c6579659212c,521
DATASET_ATTRIBUTION.md,a10afdd641538850999194f147c75213688ea557f4daaa0456ecc93cd484f865,6543
LICENSE,2b24974446a4c0213e8e2f6400ac98dc6b9c94321b5315f8c2cd58f103e84153,1080
README.md,f4d846d7a688d0caefcce8ff9efe7a0cadfc65455398d2d561a3eae7856d9d94,12208
README_RU.md,57b8f5da02a3871ded19b59b3f5b1ebe303d3555c5c3011e30cce633b870f71d,19772
SECURITY.md,4bafdac0e77142fb0f980f5d8c99c4949c20604450ccd77d104d61de37129870,3857
bio_inspired_project_engineering_standard_v02.md,ac5222515b49a0cad2a76996d564d412462fc653b71de18a665b31222c40614a,87932
configs/claims/miniboone_hgb_vs_logreg_claim_v01.csv,d3fb1096c20ac5112d90a42af4dfde30aa30c5db22debdda6b8a5b7f6309bb49,2581
configs/claims/uci_wine_quality_red_hgbr_vs_ridge_rmse_claim_v01.json,124264cea40a58b23321106e8a83f1663b90d84cf69bab1cd59288893108417d,699
configs/cli/st08_08_registered_miniboone_software_characterization_claim_v01.json,359e1c854d3034cc01d4047316628bce2655f00860c1c461ecfce00a4bd267e5,638
configs/model_spaces/miniboone_hist_gradient_boosting_nested_space.csv,88e4cc64f0d9b0ba8697b24db54224a5cdece9cece75d580c2ab6b433a873133,2740
configs/project_readiness/st08_05_miniboone_lineage_license_attribution_and_release_asset_disposition_v01.json,6fbf4719469b94a3ba04d91fa7124930df25c5d6731930adeb18e8396071484e,12583
configs/project_readiness/st08_06_public_repository_asset_manifest_v01.json,ae791e7c965af9f775080a84c2a34b6bccc25b1d7dcf906e92e4f5c5fbf54663,12278
configs/project_readiness/st08_07_python_packaging_dependency_and_clean_environment_contract_v01.json,638c996432b723af5cd4dc60be9de1f8c55ca14d2186d0fac73e64925df15a99,11557
configs/project_readiness/st08_08_universal_cli_classification_vertical_slice_contract_v01.json,2651838806a6c22dc6c102a295d70159c81ea684f66e411934dd57392c0f484b,7141
configs/project_readiness/st08_09_CI_security_and_release_candidate_assurance_contract_v01.json,81e201550bf643a262a4ecb8ef9094787484eec4ac0600773d987c6c1f4b1f31,12689
configs/project_readiness/st08_10_root_and_bilingual_user_documentation_contract_v01.json,41781b61974fb40089ded6a4aff6d9235504d979caa086cac34f2d1b5538ff9e,8883
configs/project_readiness/st08_11A_registered_regression_dataset_claim_and_scientific_validation_contract_v01.json,58158eeb1ef1576b42c0be1f7c90316ae5b033b791dd0919d6d9aacb270318b6,6195
configs/project_readiness/st08_11_tabular_regression_protocol_core_and_CLI_support_contract_v01.json,7c179e6f310b5ff5a8a42d38e3c4a9326e66c46e60ba464c3dad61367a958b28,11482
configs/project_readiness/st08_12_dashboard_shared_core_and_CLI_golden_equivalence_contract_v01.json,51274dda70d59e1e8bfb7201fba4738320d95fcc35f63d6988be3401ec39327d,3924
configs/project_readiness/st08_13A_REQ08_REQ12_current_canonical_hash_evidence_migration_contract_v01.json,0d1870289b078c944f000afd7d8052553368099ca6438123e0541af3eef27b75,7450
configs/project_readiness/st08_13B_public_repository_bootstrap_hosted_CI_and_repository_security_contract_v01.json,95cbe3ac57f89cb557c36cfd9965cf6fb2cf0fbcd6ab498a8b273f787caf8631,9704
configs/project_readiness/st08_13_release_candidate_completion_security_and_readiness_reaudit_contract_v01.json,46e87427425534b2f07da3270ceaf85ad10abd52318421850856160380940287,6183
configs/project_readiness/stage08_project_completion_and_release_readiness_requirements_v01.csv,cd4658d6e7307b4aec26d75bb9f458e6fd6a136d108794a6bfdf4e099c5b8c66,16575
