task_id,stress_test_id,claim_id,candidate_id,thread_condition,outer_random_state,outer_split_number,outer_repeat_number,outer_fold_number,outer_cv_n_splits,outer_cv_n_repeats,model_id,model_role,selected_parameter_set_id,feature_policy_id,n_train,n_test,train_positive_share,test_positive_share,roc_auc,average_precision,pr_auc,f1,balanced_accuracy,log_loss,brier_score,fit_seconds,predict_seconds,reference_artifact,metric_cells_total,exact_reference_metric_cells,exact_after_csv_roundtrip,row_status,interpretation_allowed_ru
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,1,1,1,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9367205458954988,0.8620857752893892,0.8620857752893892,0.7747297197911304,0.83323244993408,0.2901352130712198,0.08738047217054912,1.698502,0.028602,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,2,1,2,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9404138541150426,0.8685211206996868,0.8685211206996868,0.7730533165717666,0.831401183266486,0.2844798572199091,0.08509890260428134,1.504297,0.059013,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,3,1,3,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.940193433764089,0.8721832351578441,0.8721832351578441,0.782049386366997,0.8372242027921399,0.2819206600907325,0.08469135714634504,1.86214,0.044389,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,4,1,4,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9385118396192229,0.8644995041355736,0.8644995041355736,0.7775891341256367,0.8345684195808496,0.28748366251445584,0.0856346430662752,2.016963,0.03611,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,5,1,5,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104052,26012,0.2806289163110752,0.28060126095648164,0.9413248647171036,0.8705854825266734,0.8705854825266734,0.7788383277839438,0.8350652580996349,0.2813661095851,0.0843246752412563,1.990631,0.058551,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,6,2,1,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9395634307407712,0.8659562904749585,0.8659562904749585,0.7767105068715827,0.8338684337091862,0.2861423117671665,0.08548220378930768,1.502154,0.029933,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,7,2,2,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9391845607295198,0.8699969875463552,0.8699969875463552,0.7728048689972538,0.8307376894972288,0.28443423394591166,0.08574501218504729,1.598915,0.027808,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,8,2,3,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9401417006271371,0.8666065451558531,0.8666065451558531,0.7785116688683399,0.8359804516529056,0.2843081460825992,0.08540419333219232,2.778559,0.05435,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,9,2,4,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104051,26013,0.28062200267176673,0.2806289163110752,0.9378505675857892,0.8670399213481755,0.8670399213481755,0.7762711864406779,0.8339538735433356,0.2872122041450293,0.08573196423790935,2.253047,0.029917,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
ST07_26_stage05_seed_stability_logistic_blas_4_vs_12_causal_diagnostic_validation,ST05_02_seed_stability_grid,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,4,20260507,10,2,5,5,2,logistic_regression,control,not_applicable_control_model,numeric_particleid_0_49_locked,104052,26012,0.2806289163110752,0.28060126095648164,0.9388749903385178,0.8666083976406225,0.8666083976406225,0.7793420272673385,0.8351920388552907,0.285511077663836,0.0853987183659406,1.417103,0.04152,openml_miniboone_stage05_seed_stability_outer_scores.csv,7,7,true,st07_26_same_machine_causal_diagnostic,Разрешён только same-machine причинно-диагностический вывод о влиянии числа BLAS-потоков на расхождение ST05_02 logistic regression.
