file_path,column_name,required,description_ru
data_registry/openml_miniboone_nested_outer_scores.csv,protocol_id,yes,Идентификатор вложенного протокола
data_registry/openml_miniboone_nested_outer_scores.csv,candidate_id,yes,Идентификатор кандидата
data_registry/openml_miniboone_nested_outer_scores.csv,outer_repeat_number,yes,Номер внешнего повтора
data_registry/openml_miniboone_nested_outer_scores.csv,outer_fold_number,yes,Номер внешнего блока
data_registry/openml_miniboone_nested_outer_scores.csv,model_id,yes,Идентификатор модели
data_registry/openml_miniboone_nested_outer_scores.csv,model_role,yes,Роль модели: tuned_candidate или control
data_registry/openml_miniboone_nested_outer_scores.csv,selected_parameter_set_id,conditional,Идентификатор выбранного набора параметров; обязателен для hist_gradient_boosting
data_registry/openml_miniboone_nested_outer_scores.csv,roc_auc,yes,ROC AUC на внешнем блоке
data_registry/openml_miniboone_nested_outer_scores.csv,average_precision,yes,Average precision / PR-AUC на внешнем блоке
data_registry/openml_miniboone_nested_outer_scores.csv,f1,yes,F-мера на внешнем блоке
data_registry/openml_miniboone_nested_outer_scores.csv,balanced_accuracy,yes,Сбалансированная точность на внешнем блоке
data_registry/openml_miniboone_nested_outer_scores.csv,log_loss,yes,Логарифмическая потеря на внешнем блоке
data_registry/openml_miniboone_nested_outer_scores.csv,brier_score,yes,Оценка Брайера на внешнем блоке
data_registry/openml_miniboone_nested_outer_scores.csv,fit_seconds,yes,Время обучения модели в секундах
data_registry/openml_miniboone_nested_outer_scores.csv,predict_seconds,yes,Время предсказания в секундах
data_registry/openml_miniboone_nested_outer_scores.csv,row_status,yes,Статус строки: nested_research_draft
data_registry/openml_miniboone_nested_selected_params.csv,protocol_id,yes,Идентификатор вложенного протокола
data_registry/openml_miniboone_nested_selected_params.csv,outer_repeat_number,yes,Номер внешнего повтора
data_registry/openml_miniboone_nested_selected_params.csv,outer_fold_number,yes,Номер внешнего блока
data_registry/openml_miniboone_nested_selected_params.csv,model_id,yes,Идентификатор модели
data_registry/openml_miniboone_nested_selected_params.csv,selected_parameter_set_id,yes,Идентификатор выбранного набора параметров
data_registry/openml_miniboone_nested_selected_params.csv,selected_params_json,yes,Выбранные параметры в JSON-строке
data_registry/openml_miniboone_nested_selected_params.csv,inner_best_average_precision,yes,Лучшее среднее average_precision во внутреннем контуре
data_registry/openml_miniboone_nested_selected_params.csv,inner_cv_n_splits,yes,Число блоков внутреннего контура
data_registry/openml_miniboone_nested_summary.csv,protocol_id,yes,Идентификатор вложенного протокола
data_registry/openml_miniboone_nested_summary.csv,model_id,yes,Идентификатор модели
data_registry/openml_miniboone_nested_summary.csv,n_external_blocks,yes,Число внешних блоков
data_registry/openml_miniboone_nested_summary.csv,average_precision_mean,yes,Среднее average_precision
data_registry/openml_miniboone_nested_summary.csv,average_precision_std,yes,Стандартное отклонение average_precision
data_registry/openml_miniboone_nested_summary.csv,roc_auc_mean,yes,Среднее ROC AUC
data_registry/openml_miniboone_nested_summary.csv,roc_auc_std,yes,Стандартное отклонение ROC AUC
data_registry/openml_miniboone_nested_warnings.csv,severity,yes,Уровень предупреждения
data_registry/openml_miniboone_nested_warnings.csv,warning_ru,yes,Текст предупреждения или ограничения
data_registry/openml_miniboone_nested_environment.csv,name,yes,Название компонента среды
data_registry/openml_miniboone_nested_environment.csv,version,yes,Версия компонента среды
data_registry/openml_miniboone_nested_quality_checks.csv,check_id,yes,Идентификатор проверки полноты
data_registry/openml_miniboone_nested_quality_checks.csv,check_result,yes,Результат проверки: pass или fail
