protocol_id,artifact_id,canonical_path,column_position,column_name,required,comparison_class,key_role,expected_rows_policy,expected_column_count,description_ru
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,1,protocol_id,yes,A,key,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,2,candidate_id,yes,A,key,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,3,openml_dataset_id,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,4,dataset_name,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,5,target_name,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,6,target_class_0,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,7,target_class_1,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,8,positive_class_assumption,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,9,outer_split_number,yes,A,key,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,10,outer_repeat_number,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,11,outer_fold_number,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,12,outer_cv_n_splits,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,13,outer_cv_n_repeats,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,14,inner_cv_n_splits,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,15,model_id,yes,A,key,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,16,model_role,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,17,selected_parameter_set_id,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,18,selected_params_json,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,19,feature_policy_id,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,20,feature_count,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,21,feature_names,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,22,n_train,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,23,n_test,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,24,train_positive_share,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,25,test_positive_share,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,26,roc_auc,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,27,average_precision,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,28,pr_auc,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,29,f1,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,30,balanced_accuracy,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,31,log_loss,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,32,brier_score,yes,B,value,exact_30,36,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,33,fit_seconds,yes,C,value,exact_30,36,Timing: конечное и неотрицательное; точное равенство не требуется.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,34,predict_seconds,yes,C,value,exact_30,36,Timing: конечное и неотрицательное; точное равенство не требуется.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,35,row_status,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,outer_scores,data_registry/openml_miniboone_nested_v02_outer_scores.csv,36,interpretation_allowed,yes,A,value,exact_30,36,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,1,protocol_id,yes,A,key,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,2,candidate_id,yes,A,key,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,3,outer_split_number,yes,A,key,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,4,outer_repeat_number,yes,A,value,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,5,outer_fold_number,yes,A,value,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,6,model_id,yes,A,key,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,7,selected_parameter_set_id,yes,A,value,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,8,selected_params_json,yes,A,value,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,9,inner_best_average_precision,yes,B,value,exact_10,13,Точное детерминированное численное поле после CSV roundtrip.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,10,inner_cv_n_splits,yes,A,value,exact_10,13,Точное контрактное или структурное поле.
miniboone_nested_cv_v02,selected_params,data_registry/openml_miniboone_nested_v02_selected_params.csv,11,inner_cv_random_state,yes,A,value,exact_10,13,Точное контрактное или структурное поле.
