readout_id,claim_id,source_protocol_id,candidate_id,dataset_name,comparison_role,candidate_model_id,comparison_model_id,metric_name,metric_direction,row_type,outer_split_number,outer_repeat_number,outer_fold_number,candidate_metric_value,comparison_metric_value,raw_delta_candidate_minus_comparison,advantage_for_candidate,candidate_better,n_blocks,advantage_mean,advantage_std_population,advantage_min,advantage_max,candidate_positive_blocks,candidate_negative_blocks,candidate_zero_blocks,row_status,interpretation_allowed_ru,source_file
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,average_precision,higher_is_better,paired_outer_block,1,1,1,0.9563547384495451,0.8620857752893892,0.09426896316015587,0.09426896316015587,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,roc_auc,higher_is_better,paired_outer_block,1,1,1,0.9839710361780579,0.9367205458954988,0.04725049028255912,0.04725049028255912,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,f1,higher_is_better,paired_outer_block,1,1,1,0.8973698481561823,0.7747297197911304,0.12264012836505189,0.12264012836505189,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,balanced_accuracy,higher_is_better,paired_outer_block,1,1,1,0.9310989100683797,0.83323244993408,0.09786646013429978,0.09786646013429978,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,log_loss,lower_is_better,paired_outer_block,1,1,1,0.144375040164541,0.2901352130712198,-0.1457601729066788,0.1457601729066788,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,brier_score,lower_is_better,paired_outer_block,1,1,1,0.04255211916900973,0.08738047217054912,-0.04482835300153939,0.04482835300153939,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,average_precision,higher_is_better,paired_outer_block,10,2,5,0.9606830455778904,0.8666083976406225,0.09407464793726794,0.09407464793726794,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,roc_auc,higher_is_better,paired_outer_block,10,2,5,0.9852772081557559,0.9388749903385178,0.04640221781723808,0.04640221781723808,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,f1,higher_is_better,paired_outer_block,10,2,5,0.9038618438944792,0.7793420272673385,0.12451981662714073,0.12451981662714073,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
ST05_01_current_nested_readout,miniboone_hgb_vs_logreg_average_precision_v01,miniboone_nested_cv_v01,openml_miniboone_41150,MiniBooNE,primary_baseline,hist_gradient_boosting,logistic_regression,balanced_accuracy,higher_is_better,paired_outer_block,10,2,5,0.9349761700280863,0.8351920388552907,0.09978413117279561,0.09978413117279561,True,,,,,,,,,stage05_current_readout,Только первичный срез текущего вложенного результата; не является итоговым вердиктом этапа 5.,data_registry/openml_miniboone_nested_outer_scores.csv
